timestamp,src_ip,dst_ip,protocol,size,risk,status
1773415748.230298,8.8.4.4,192.168.1.34,17,620,MEDIUM,SUSPICIOUS
1773415748.2472932,8.8.4.4,192.168.1.34,17,64,MEDIUM,SUSPICIOUS
1773415748.2673085,8.8.4.4,192.168.1.34,17,550,MEDIUM,SUSPICIOUS
1773415748.2831745,8.8.4.4,192.168.1.34,17,64,MEDIUM,SUSPICIOUS
1773415748.3125396,8.8.4.4,192.168.1.34,17,65,MEDIUM,SUSPICIOUS
1773415748.3367317,42.106.164.58,192.168.1.34,17,1292,HIGH,DOS ATTACK
1773415748.3651116,42.106.164.58,192.168.1.34,17,1292,HIGH,DOS ATTACK
1773415748.3849814,42.106.164.58,192.168.1.34,17,1292,HIGH,DOS ATTACK
1773415748.4116826,42.106.164.58,192.168.1.34,17,1292,HIGH,DOS ATTACK
1773415748.4515069,42.106.164.58,192.168.1.34,17,1292,HIGH,DOS ATTACK
1773415748.483077,42.106.164.58,192.168.1.34,17,665,MEDIUM,SUSPICIOUS
1773415748.516938,42.106.164.58,192.168.1.34,6,66,MEDIUM,SUSPICIOUS
1773415748.5402071,42.106.164.58,192.168.1.34,6,54,MEDIUM,SUSPICIOUS
1773415748.559907,42.106.164.58,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415748.576208,42.106.164.58,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415748.5930443,42.106.164.58,192.168.1.34,6,1246,MEDIUM,SUSPICIOUS
1773415748.6085744,42.106.164.58,192.168.1.34,6,1310,MEDIUM,SUSPICIOUS
1773415748.6312275,42.106.164.58,192.168.1.34,17,369,MEDIUM,SUSPICIOUS
1773415748.6468754,42.106.164.58,192.168.1.34,17,330,MEDIUM,SUSPICIOUS
1773415748.6634204,42.106.164.58,192.168.1.34,17,106,MEDIUM,SUSPICIOUS
1773415748.6796756,42.106.164.58,192.168.1.34,17,63,MEDIUM,SUSPICIOUS
1773415748.6965299,42.106.164.58,192.168.1.34,17,112,MEDIUM,SUSPICIOUS
1773415748.7135854,42.106.164.58,192.168.1.34,17,66,MEDIUM,SUSPICIOUS
1773415748.730747,42.106.164.58,192.168.1.34,6,357,MEDIUM,SUSPICIOUS
1773415748.7485464,42.106.164.58,192.168.1.34,6,341,MEDIUM,SUSPICIOUS
1773415748.7702003,42.106.164.58,192.168.1.34,17,66,MEDIUM,SUSPICIOUS
1773415748.7860491,42.106.164.58,192.168.1.34,17,586,MEDIUM,SUSPICIOUS
1773415748.8051183,42.106.164.58,192.168.1.34,17,1494,MEDIUM,SUSPICIOUS
1773415748.823862,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415748.8444705,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415748.8638566,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415748.8838582,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415748.9051485,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415748.9222999,42.106.164.58,192.168.1.34,17,1256,MEDIUM,SUSPICIOUS
1773415748.9452038,42.106.164.58,192.168.1.34,17,140,MEDIUM,SUSPICIOUS
1773415748.9664927,42.106.164.58,192.168.1.34,17,64,MEDIUM,SUSPICIOUS
1773415748.9881778,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415749.0098462,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415749.0301168,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415749.0579433,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415749.0798278,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415749.0987287,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415749.119063,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415749.1362915,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415749.1554265,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415749.173339,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415749.191651,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415749.2102299,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415749.2260475,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415749.2562885,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
